NO,sigungu,beonji,bonbeon,bubeon,dangi,class,area,cntr_ym,cntr_d,deposit,m_rent,floor,built_y,road_nm,cntr_prd,cntr_cls ,renew,pre_deposit,pre_m_rent
363,서울특별시 용산구 원효로1가,41,41,0,용산더프라임,월세,84.976,202402,14,65,000,120,33,2014,원효로90길 11,202404~202604,갱신,-,34,000,150
364,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,17.9822,202402,14,3,297,12,3,2022,원효로97길 15,202402~202403,신규,-,,
365,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,33.9588,202402,14,13,533,59,18,2022,원효로97길 15,202404~202604,신규,-,,
366,서울특별시 용산구 원효로1가,Mar-46,46,3,용산파크뷰(46-3),월세,15.13,202402,15,1,000,80,17,2018,원효로 251,202404~202504,신규,-,,
367,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,43.9656,202402,15,17,344,74,3,2022,원효로97길 15,202403~202603,신규,-,,
368,서울특별시 용산구 원효로1가,Mar-46,46,3,용산파크뷰(46-3),전세,27.57,202402,16,30,400,0,17,2018,원효로 251,202402~202602,갱신,-,29,400,0
369,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,33.9588,202402,16,12,106,53,12,2022,원효로97길 15,202403~202603,신규,-,,
370,서울특별시 용산구 원효로1가,Mar-46,46,3,용산파크뷰(46-3),전세,15.13,202402,17,18,870,0,10,2018,원효로 251,202404~202604,갱신,-,18,870,0
371,서울특별시 용산구 원효로1가,07월 28일,28,7,시온캐슬용산,전세,21.63,202402,17,33,000,0,9,2021,원효로81길 3,202402~202602,신규,-,,
372,서울특별시 용산구 원효로1가,41,41,0,용산더프라임,월세,58.582,202402,21,5,000,300,4,2014,원효로90길 11,202403~202603,신규,-,,
373,서울특별시 용산구 원효로1가,41,41,0,용산더프라임,전세,57.32,202402,22,66,000,0,3,2014,원효로90길 11,202403~202603,갱신,-,63,000,0
374,서울특별시 용산구 원효로1가,41,41,0,용산더프라임,월세,84.976,202402,22,50,000,165,22,2014,원효로90길 11,202404~202604,신규,-,,
375,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,43.9656,202402,28,17,344,75,18,2022,원효로97길 15,202403~202603,신규,-,,
376,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,33.9588,202402,28,13,533,60,27,2022,원효로97길 15,202403~202603,신규,-,,
377,서울특별시 용산구 원효로1가,41,41,0,용산더프라임,전세,123.673,202403,1,100,000,0,28,2014,원효로90길 11,202405~202605,갱신,-,68,400,70
378,서울특별시 용산구 원효로1가,41,41,0,용산더프라임,전세,123.673,202403,4,112,000,0,14,2014,원효로90길 11,202405~202605,신규,-,,
379,서울특별시 용산구 원효로1가,41,41,0,용산더프라임,월세,114.218,202403,6,60,000,250,34,2014,원효로90길 11,202404~202603,신규,-,,
380,서울특별시 용산구 원효로1가,41,41,0,용산더프라임,전세,123.673,202403,8,120,000,0,32,2014,원효로90길 11,202405~202605,갱신,-,89,250,0
381,서울특별시 용산구 원효로1가,41,41,0,용산더프라임,전세,38.61,202403,8,40,000,0,5,2014,원효로90길 11,202404~202604,신규,-,,
382,서울특별시 용산구 원효로1가,41,41,0,용산더프라임,전세,84.976,202403,9,87,000,0,21,2014,원효로90길 11,202405~202605,신규,-,,
383,서울특별시 용산구 원효로1가,41,41,0,용산더프라임,월세,38.61,202403,14,25,000,70,6,2014,원효로90길 11,202404~202604,신규,-,,
384,서울특별시 용산구 원효로1가,07월 28일,28,7,시온캐슬용산,전세,21.63,202403,14,30,000,0,11,2021,원효로81길 3,202403~202603,갱신,사용,33,000,0
385,서울특별시 용산구 원효로1가,05월 17일,17,5,로얄카운티-2,월세,133.35,202403,17,20,000,220,1,2006,백범로79다길 27,202403~202603,갱신,-,20,000,200
386,서울특별시 용산구 원효로1가,41,41,0,용산더프라임,전세,123.673,202403,20,120,000,0,13,2014,원효로90길 11,202404~202506,갱신,-,138,000,0
387,서울특별시 용산구 원효로1가,41,41,0,용산더프라임,전세,38.61,202403,21,45,000,0,4,2014,원효로90길 11,202403~202603,갱신,사용,45,000,0
388,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,15.965,202404,1,6,543,28,29,2022,원효로97길 15,202405~202604,갱신,-,6,543,27
389,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,15.965,202404,1,6,543,28,29,2022,원효로97길 15,202405~202604,갱신,-,6,543,27
390,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,43.9485,202404,1,18,480,82,11,2022,원효로97길 15,202405~202604,갱신,-,18,480,78
391,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,33.9588,202404,1,13,533,60,27,2022,원효로97길 15,202405~202604,갱신,-,13,533,57
392,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,33.9588,202404,1,12,106,53,6,2022,원효로97길 15,202405~202605,갱신,-,12,106,51
393,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,15.965,202404,1,6,543,28,29,2022,원효로97길 15,202405~202605,갱신,-,6,543,27
394,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,33.9588,202404,2,13,533,60,17,2022,원효로97길 15,202405~202605,갱신,-,13,533,57
395,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,15.965,202404,2,6,543,28,29,2022,원효로97길 15,202405~202604,갱신,-,6,543,27
396,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,15.965,202404,2,5,889,31,29,2022,원효로97길 15,202405~202605,갱신,-,5,889,30
397,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,43.9656,202404,2,17,344,77,18,2022,원효로97길 15,202405~202605,갱신,-,17,344,73
398,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,43.9656,202404,2,17,344,76,17,2022,원효로97길 15,202404~202604,신규,-,,
399,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,43.9656,202404,2,17,344,77,27,2022,원효로97길 15,202405~202605,갱신,-,17,344,73
400,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,33.9588,202404,2,13,533,60,26,2022,원효로97길 15,202405~202605,갱신,-,13,533,57
401,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,15.965,202404,2,6,543,28,29,2022,원효로97길 15,202405~202605,갱신,-,6,543,27
402,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,33.9588,202404,2,13,533,60,25,2022,원효로97길 15,202405~202604,갱신,-,13,533,57
403,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,43.9656,202404,2,17,344,77,21,2022,원효로97길 15,202405~202604,갱신,-,17,344,73
404,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,43.9656,202404,3,13,875,90,22,2022,원효로97길 15,202405~202605,갱신,-,13,875,88
405,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,33.9588,202404,3,10,896,58,12,2022,원효로97길 15,202405~202605,갱신,-,10,896,56
406,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,15.9722,202404,3,6,293,27,29,2022,원효로97길 15,202405~202605,갱신,-,6,293,26
407,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,33.9588,202404,3,12,106,53,9,2022,원효로97길 15,202405~202605,갱신,-,12,106,51
408,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,43.9656,202404,3,17,344,75,7,2022,원효로97길 15,202404~202604,신규,-,,
409,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,43.9656,202404,3,17,344,75,19,2022,원효로97길 15,202405~202605,갱신,-,17,344,73
410,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,15.965,202404,3,5,889,31,29,2022,원효로97길 15,202405~202604,갱신,-,5,889,30
411,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,15.965,202404,3,6,543,28,29,2022,원효로97길 15,202405~202605,갱신,-,6,543,27
412,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,33.9588,202404,3,12,106,53,11,2022,원효로97길 15,202405~202605,갱신,-,12,106,51
413,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,33.9588,202404,4,13,533,59,16,2022,원효로97길 15,202405~202605,갱신,-,13,533,57
414,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,43.9656,202404,4,17,344,75,26,2022,원효로97길 15,202405~202605,갱신,-,17,344,73
415,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,33.9588,202404,4,12,106,53,11,2022,원효로97길 15,202405~202605,갱신,-,12,106,51
416,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,33.9588,202404,4,12,106,53,13,2022,원효로97길 15,202405~202605,갱신,-,12,106,51
417,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,33.9588,202404,4,13,533,59,29,2022,원효로97길 15,202405~202605,갱신,-,13,533,57
418,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,43.9485,202404,4,18,480,81,13,2022,원효로97길 15,202405~202605,갱신,-,18,480,78
419,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,43.9485,202404,4,18,480,81,17,2022,원효로97길 15,202405~202605,갱신,-,18,480,78
420,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,33.9588,202404,4,9,685,64,13,2022,원효로97길 15,202405~202605,갱신,-,9,685,62
421,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,33.9588,202404,5,12,179,65,27,2022,원효로97길 15,202405~202605,갱신,-,12,179,63
422,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,33.9588,202404,5,13,533,59,17,2022,원효로97길 15,202405~202605,갱신,-,13,533,57
423,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,33.9588,202404,5,13,533,59,24,2022,원효로97길 15,202405~202605,갱신,-,13,533,57
424,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,33.9588,202404,5,9,685,64,9,2022,원효로97길 15,202405~202605,갱신,-,9,685,62
425,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,15.965,202404,5,6,543,28,29,2022,원효로97길 15,202405~202605,갱신,-,6,543,27
426,서울특별시 용산구 원효로1가,41,41,0,용산더프라임,전세,84.976,202404,6,55,000,0,10,2014,원효로90길 11,202404~202604,갱신,-,40,000,100
427,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,15.965,202404,8,6,543,28,29,2022,원효로97길 15,202405~202605,갱신,-,6,543,27
428,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,33.9588,202404,8,12,106,53,13,2022,원효로97길 15,202405~202605,갱신,-,12,106,51
429,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,33.9588,202404,8,12,106,53,9,2022,원효로97길 15,202405~202605,갱신,-,12,106,51
430,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,33.9588,202404,8,12,106,53,10,2022,원효로97길 15,202405~202605,갱신,-,12,106,51
431,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,33.9588,202404,8,12,106,53,9,2022,원효로97길 15,202405~202605,갱신,-,12,106,51
432,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,33.9588,202404,8,9,685,64,13,2022,원효로97길 15,202405~202605,갱신,-,9,685,62
433,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,33.9588,202404,9,12,106,53,5,2022,원효로97길 15,202405~202605,갱신,-,12,106,51
434,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,33.9588,202404,9,12,106,53,5,2022,원효로97길 15,202405~202605,갱신,-,12,106,51
435,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,43.9485,202404,9,18,480,81,16,2022,원효로97길 15,202405~202605,갱신,-,18,480,78
436,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,33.9588,202404,9,12,106,53,11,2022,원효로97길 15,202405~202605,갱신,-,12,106,51
437,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,33.9588,202404,9,13,533,59,20,2022,원효로97길 15,202405~202605,갱신,-,13,533,57
438,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,43.9485,202404,9,18,480,81,15,2022,원효로97길 15,202405~202605,갱신,-,18,480,78
439,서울특별시 용산구 원효로1가,41,41,0,용산더프라임,전세,142.901,202404,10,120,000,0,8,2014,원효로90길 11,202407~202607,신규,-,,
440,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,33.9588,202404,11,13,533,59,23,2022,원효로97길 15,202405~202605,갱신,-,13,533,57
441,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,43.9485,202404,11,18,480,81,14,2022,원효로97길 15,202405~202605,갱신,-,18,480,78
442,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,43.9485,202404,11,18,480,81,19,2022,원효로97길 15,202405~202605,갱신,-,18,480,78
443,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,43.9656,202404,11,17,344,75,27,2022,원효로97길 15,202405~202605,갱신,-,17,344,73
444,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,43.9485,202404,11,18,480,81,7,2022,원효로97길 15,202405~202605,갱신,-,18,480,78
445,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,43.9656,202404,11,17,344,75,20,2022,원효로97길 15,202405~202605,갱신,-,17,344,73
446,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,33.9588,202404,11,10,896,58,8,2022,원효로97길 15,202405~202605,갱신,-,10,896,56
447,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,43.9656,202404,11,15,610,82,9,2022,원효로97길 15,202405~202605,갱신,-,15,610,80
448,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,15.965,202404,11,5,234,34,29,2022,원효로97길 15,202405~202605,갱신,-,5,234,33
449,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,43.9485,202404,11,18,480,81,16,2022,원효로97길 15,202405~202605,갱신,-,18,480,78
450,서울특별시 용산구 원효로1가,07월 28일,28,7,시온캐슬용산,월세,25.55,202404,12,30,000,15,9,2021,원효로81길 3,202406~202606,신규,-,,
451,서울특별시 용산구 원효로1가,07월 28일,28,7,시온캐슬용산,월세,25.55,202404,12,29,700,16,9,2021,원효로81길 3,202406~202606,신규,-,,
452,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,43.9485,202404,12,18,480,81,14,2022,원효로97길 15,202405~202605,갱신,-,18,480,78
453,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,43.9656,202404,12,15,610,82,25,2022,원효로97길 15,202405~202605,신규,-,,
454,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,33.9588,202404,12,13,533,59,14,2022,원효로97길 15,202405~202605,갱신,-,13,533,57
455,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,43.9656,202404,12,17,344,75,8,2022,원효로97길 15,202405~202605,갱신,-,17,344,73
456,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,33.9588,202404,12,9,685,64,7,2022,원효로97길 15,202405~202605,갱신,-,9,685,62
457,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,33.9588,202404,12,12,106,53,10,2022,원효로97길 15,202405~202605,갱신,-,12,106,51
458,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,33.9588,202404,12,13,533,59,14,2022,원효로97길 15,202405~202605,갱신,-,13,533,57
459,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,33.9588,202404,12,12,106,53,12,2022,원효로97길 15,202405~202605,갱신,-,12,106,51
460,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,43.9485,202404,12,18,480,81,18,2022,원효로97길 15,202405~202605,갱신,-,18,480,78
461,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,33.9588,202404,12,13,533,59,26,2022,원효로97길 15,202405~202605,갱신,-,13,533,57
462,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,43.9485,202404,12,14,784,95,15,2022,원효로97길 15,202405~202604,갱신,-,14,784,93
463,서울특별시 용산구 원효로1가,41,41,0,용산더프라임,전세,123.673,202404,15,120,000,0,26,2014,원효로90길 11,202405~202605,갱신,사용,145,000,0
464,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,33.9588,202404,15,13,533,59,27,2022,원효로97길 15,202405~202605,갱신,-,13,533,57
465,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,43.9656,202404,15,15,610,82,20,2022,원효로97길 15,202405~202605,갱신,-,15,610,80
466,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,33.9588,202404,15,12,106,53,8,2022,원효로97길 15,202405~202605,갱신,-,12,106,51
467,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,33.9588,202404,15,10,896,58,9,2022,원효로97길 15,202405~202605,갱신,-,10,896,56
468,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,33.9588,202404,15,12,106,53,8,2022,원효로97길 15,202405~202605,갱신,-,12,106,51
469,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,33.9588,202404,15,12,106,53,5,2022,원효로97길 15,202405~202605,갱신,-,12,106,51
470,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,33.9588,202404,15,13,533,59,16,2022,원효로97길 15,202405~202605,갱신,-,13,533,57
471,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,33.9588,202404,15,13,533,59,17,2022,원효로97길 15,202405~202605,갱신,-,13,533,57
472,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,33.9588,202404,16,12,106,53,8,2022,원효로97길 15,202405~202605,갱신,-,12,106,51
473,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,33.9588,202404,16,9,685,63,13,2022,원효로97길 15,202406~202605,갱신,-,9,685,62
474,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,43.9485,202404,16,18,480,81,22,2022,원효로97길 15,202405~202605,갱신,-,18,480,78
475,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,43.9485,202404,16,18,480,81,20,2022,원효로97길 15,202405~202605,갱신,-,18,480,78
476,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,33.9588,202404,16,13,533,59,19,2022,원효로97길 15,202405~202605,갱신,-,13,533,57
477,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,33.9588,202404,16,12,106,53,5,2022,원효로97길 15,202405~202605,갱신,-,12,106,51
478,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,33.9588,202404,16,13,533,58,21,2022,원효로97길 15,202406~202606,갱신,-,13,533,57
479,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,43.9485,202404,16,16,632,88,25,2022,원효로97길 15,202406~202606,갱신,-,16,632,86
480,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,33.9588,202404,16,12,106,53,8,2022,원효로97길 15,202405~202605,갱신,-,12,106,51
481,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,43.9485,202404,16,18,480,81,22,2022,원효로97길 15,202405~202605,갱신,-,18,480,78
482,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,33.9588,202404,16,13,533,58,18,2022,원효로97길 15,202406~202606,갱신,-,13,533,57
483,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,33.9588,202404,16,13,533,59,28,2022,원효로97길 15,202405~202605,갱신,-,13,533,57
484,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,43.9656,202404,16,17,344,75,3,2022,원효로97길 15,202405~202605,갱신,-,17,344,73
485,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,33.9588,202404,16,12,106,52,8,2022,원효로97길 15,202406~202606,갱신,-,12,106,51
486,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,33.9588,202404,17,13,533,58,15,2022,원효로97길 15,202406~202606,갱신,-,13,533,57
487,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,33.9588,202404,17,13,533,58,25,2022,원효로97길 15,202406~202606,갱신,-,13,533,57
488,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,33.9588,202404,17,12,106,53,13,2022,원효로97길 15,202405~202605,갱신,-,12,106,51
489,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,33.9588,202404,17,13,533,59,18,2022,원효로97길 15,202405~202605,갱신,-,13,533,57
490,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,43.9656,202404,17,17,344,75,23,2022,원효로97길 15,202405~202605,갱신,-,17,344,73
491,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,33.9588,202404,17,12,106,52,7,2022,원효로97길 15,202406~202606,갱신,-,12,106,51
492,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,33.9588,202404,17,13,533,58,27,2022,원효로97길 15,202406~202606,갱신,-,13,533,57
493,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,33.9588,202404,17,13,533,58,20,2022,원효로97길 15,202406~202606,갱신,-,13,533,57
494,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,43.9656,202404,17,15,610,82,26,2022,원효로97길 15,202405~202605,갱신,-,15,610,80
495,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,33.9588,202404,17,12,106,53,10,2022,원효로97길 15,202405~202605,갱신,-,12,106,51
496,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,33.9588,202404,17,12,106,52,6,2022,원효로97길 15,202406~202606,갱신,-,12,106,51
497,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,33.9588,202404,17,12,106,52,7,2022,원효로97길 15,202406~202606,갱신,-,12,106,51
498,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,15.965,202404,17,6,543,28,29,2022,원효로97길 15,202406~202606,갱신,-,6,543,27
499,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,33.9588,202404,17,13,533,59,21,2022,원효로97길 15,202405~202605,갱신,-,13,533,57
500,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,33.9588,202404,17,12,106,52,7,2022,원효로97길 15,202406~202606,갱신,-,12,106,51
501,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,33.9588,202404,17,13,533,59,24,2022,원효로97길 15,202405~202605,갱신,-,13,533,57
502,서울특별시 용산구 원효로1가,05월 17일,17,5,로얄카운티-2,월세,133.35,202404,18,15,000,280,-1,2006,백범로79다길 27,202406~202606,갱신,-,20,000,300
503,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,33.9588,202404,18,9,685,63,11,2022,원효로97길 15,202406~202606,갱신,-,9,685,62
504,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,43.9656,202404,18,17,344,75,18,2022,원효로97길 15,202406~202606,갱신,-,17,344,73
505,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,33.9588,202404,18,9,685,63,6,2022,원효로97길 15,202406~202606,갱신,-,9,685,62
506,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,43.9656,202404,18,17,344,75,25,2022,원효로97길 15,202406~202606,갱신,-,17,344,73
507,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,33.9588,202404,18,13,533,58,21,2022,원효로97길 15,202406~202606,갱신,-,13,533,57
508,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,33.9588,202404,18,13,533,58,14,2022,원효로97길 15,202406~202606,갱신,-,13,533,57
509,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,33.9588,202404,18,13,533,58,15,2022,원효로97길 15,202406~202606,갱신,-,13,533,57
510,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,43.9485,202404,18,18,480,80,24,2022,원효로97길 15,202406~202606,갱신,-,18,480,78
511,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,33.9588,202404,18,13,533,58,21,2022,원효로97길 15,202406~202606,갱신,-,13,533,57
512,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,33.9588,202404,18,13,533,58,29,2022,원효로97길 15,202406~202606,갱신,-,13,533,57
513,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,43.9656,202404,18,17,344,75,26,2022,원효로97길 15,202406~202606,갱신,-,17,344,73
514,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,33.9588,202404,18,13,533,58,15,2022,원효로97길 15,202406~202606,갱신,-,13,533,57
515,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,43.9656,202404,18,17,344,75,12,2022,원효로97길 15,202405~202605,신규,-,,
516,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,33.9588,202404,18,13,533,58,24,2022,원효로97길 15,202406~202606,갱신,-,13,533,57
517,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,43.9656,202404,18,13,875,90,23,2022,원효로97길 15,202405~202605,신규,-,,
518,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,43.9656,202404,18,17,344,75,4,2022,원효로97길 15,202405~202605,갱신,-,17,344,73
519,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,33.9588,202404,18,13,533,59,18,2022,원효로97길 15,202405~202605,갱신,-,13,533,57
520,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,33.9588,202404,19,13,533,58,16,2022,원효로97길 15,202406~202606,갱신,-,13,533,57
521,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,43.9485,202404,19,14,784,95,4,2022,원효로97길 15,202406~202606,갱신,-,14,784,93
522,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,43.9485,202404,19,16,632,88,26,2022,원효로97길 15,202406~202606,갱신,-,16,632,86
523,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,43.9485,202404,19,18,480,80,3,2022,원효로97길 15,202406~202606,갱신,-,18,480,78
524,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,43.9656,202404,19,17,344,75,22,2022,원효로97길 15,202406~202606,갱신,-,17,344,73
525,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,33.9588,202404,19,13,533,58,26,2022,원효로97길 15,202406~202606,갱신,-,13,533,57
526,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,43.9656,202404,19,17,344,75,20,2022,원효로97길 15,202406~202606,갱신,-,17,344,73
527,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,43.9656,202404,19,17,344,75,14,2022,원효로97길 15,202406~202606,갱신,-,17,344,73
528,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,33.9588,202404,19,13,533,58,24,2022,원효로97길 15,202406~202606,갱신,-,13,533,57
529,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,33.9588,202404,19,12,106,53,5,2022,원효로97길 15,202405~202605,갱신,-,12,106,51
530,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,43.9656,202404,22,17,344,75,14,2022,원효로97길 15,202406~202606,갱신,-,17,344,73
531,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,43.9656,202404,22,17,344,75,21,2022,원효로97길 15,202406~202606,갱신,-,17,344,73
532,서울특별시 용산구 원효로1가,134,134,0,용산원효루미니,월세,43.9485,202404,22,18,480,80,5,2022,원효로97길 15,202406~202606,갱신,-,18,480,78
